V1,V2,V3,V4,V5,V6,V7,V8
-0.278974,0.336972,1.44931,0.16958,-9.68E-01,-1.05E+00,-1.08E+00,-1.06E+00
0.413598,-0.358144,0.184096,-0.328981,-9.15E-01,-1.10E+00,-1.03E+00,-1.13E+00
-0.0619162,-1.05885,-0.10271,-1.09309,-1.30E+00,1.24E+00,-1.79E+00,7.00E-01
1.04331,-2.18873,1.28801,-0.12495,-7.07E-01,-1.40E+00,-1.16E+00,-1.03E+00
-1.4844,0.668956,1.16524,0.178627,7.07E-01,-1.47E+00,1.13E+00,-7.42E-01
0.224227,0.833515,0.272371,-1.32797,1.28E+00,1.17E+00,3.72E-01,1.04E+00
-0.451761,-0.38511,0.135342,-0.81995,2.94E-01,6.83E-01,3.64E-01,1.69E-01
0.963153,-0.920947,1.0716,-0.0348667,-9.47E-01,1.06E+00,-1.58E+00,1.29E+00
-0.146106,-1.6947,0.141921,-0.471297,-3.31E-01,-1.81E-01,1.04E+00,-1.45E-01
-1.16696,-0.137097,0.193865,-1.03947,1.41E+00,-1.13E+00,4.28E-01,-9.15E-01
-0.747571,-1.45748,0.879047,0.366734,8.23E-01,1.34E+00,1.23E+00,1.26E+00
0.794028,-0.559673,0.055597,-0.802462,1.32E+00,8.64E-01,7.94E-01,6.36E-01
-0.770412,1.12424,-0.329525,-0.793084,-1.30E+00,1.19E+00,-1.23E+00,1.09E+00
-1.25702,-1.82002,0.583066,-0.586104,5.73E-01,1.58E+00,3.65E-01,1.42E+00
1.04421,-1.9421,-0.00409476,-1.0295,9.45E-01,-1.19E+00,1.53E+00,-1.11E+00
-0.504185,0.837589,1.3926,-0.00773957,-6.89E-01,8.75E-01,-1.19E+00,1.07E+00
-0.364916,-0.424707,1.18245,0.334489,-1.08E+00,-9.61E-01,-1.36E+00,-1.16E+00
-0.544796,-0.558643,-0.492466,-1.26701,9.66E-01,-1.35E+00,1.17E+00,-1.36E+00
0.641789,0.985163,-0.303776,-0.926504,8.21E-01,9.29E-01,5.73E-01,8.52E-01
1.34455,0.493515,0.975297,-0.143887,1.29E+00,1.40E+00,7.55E-01,5.80E-01
